Unit name,Zone,Country,name,Status,Operator,Construction's begin,Commissioning Year,Decommissioning Year,Category,Energy 1,Energy 2,Energy 3,Technology,Sub Energy 1,Sub Energy 2,Sub Energy 3,Sub-techno.,CHP,CCS,Barge,Desalination,capacity,Energy Capacity (MWh),Discharge duration (hours),Last Update,Comment,City,lat,long,CAPEX (USDm),Date of financing,Production 2007 (GWh),Production 2008 (GWh),Production 2009 (GWh),Production 2010 (GWh),Production 2011 (GWh),Production 2012 (GWh),Production 2013 (GWh),Production 2014 (GWh),Production 2015 (GWh),Production 2016 (GWh),Production 2017 (GWh),Production 2018 (GWh),Production 2019 (GWh),Production 2020 (GWh),Load factor 2007 (%),Load factor 2008 (%),Load factor 2009 (%),Load factor 2010 (%),Load factor 2011 (%),Load factor 2012 (%),Load factor 2013 (%),Load factor 2014 (%),Load factor 2015 (%),Load factor 2016 (%),Load factor 2017 (%),Load factor 2018 (%),Load factor 2019 (%),Load factor 2020 (%),cluster
Schleiden,Europe,Germany,Schleiden,Operational,ABO Wind,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,25.5,,,20/09/2021,,Schleiden,50.5294456,6.4768533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Talling,Europe,Germany,Talling,Operational,ABO Wind,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.6,,,20/09/2021,,Talling,49.76,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Undenheim,Europe,Germany,Undenheim,Operational,ABO Wind,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.0,,,20/09/2021,,Undenheim,49.84,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Vettweiss - Nörvenich,Europe,Germany,Vettweiss - Nörvenich,Operational,ABO Wind,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,9.0,,,20/09/2021,,Vettweiss - Nörvenich,50.78,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Wennerstorf,Europe,Germany,Wennerstorf,Operational,ABO Wind,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,10.4,,,20/09/2021,,Wennerstorf,53.36,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Markee III,Europe,Germany,Markee III,Operational,,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,17.3,,,20/09/2021,,Markee,52.5658116,12.8655653,120.92146996976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Neukammer III,Europe,Germany,Neukammer III,Operational,,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.0,,,20/09/2021,,Neukammer,52.58,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Balkum Thiene,Europe,Germany,Balkum Thiene,Operational,Windpark Balkum-Thiene GmbH & Co. KG,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,27.6,,,20/09/2021,,Alfhausen,52.46,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Neukammer II,Europe,Germany,Neukammer II,Operational,,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,8.0,,,20/09/2021,,Neukammer,52.58,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Drochtersen II,Europe,Germany,Drochtersen II,Operational,,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,2.0,,,20/09/2021,,Drochtersen,53.69,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
